surah,ayah,page,word_count
7,52,157,10
7,53,157,38
7,54,157,32
7,55,157,8
7,56,157,15
7,57,157,29
7,58,158,17
7,59,158,20
7,60,158,9
7,61,158,10
7,62,158,11
7,63,158,13
7,64,158,14
7,65,158,15
7,66,158,14
7,67,158,10
7,68,159,7
7,69,159,27
7,70,159,17
7,71,159,25
7,72,159,13
7,73,159,34
7,74,160,25
7,75,160,23
7,76,160,8
7,77,160,15
7,78,160,6
7,79,160,14
7,80,160,13
7,81,160,11
7,82,161,13
7,83,161,7
7,84,161,8
7,85,161,37
7,86,161,24
7,87,161,19
7,88,162,21
7,89,162,42
7,90,162,12
7,91,162,6
7,92,162,13
7,93,162,15
7,94,162,13
7,95,162,18
7,96,163,18
7,97,163,9
7,98,163,9
7,99,163,10
7,100,163,19
7,101,163,23
7,102,163,9
7,103,163,16
7,104,163,8
7,105,164,18
7,106,164,11
7,107,164,6
7,108,164,6
7,109,164,9
7,110,164,7
7,111,164,7
7,112,164,4
7,113,164,11
7,114,164,5
7,115,164,10
7,116,164,11
7,117,164,11
7,118,164,6
7,119,164,4
7,120,164,3
7,121,165,4
7,122,165,3
7,123,165,19
7,124,165,8
7,125,165,5
7,126,165,16
7,127,165,21
7,128,165,16
7,129,165,22
7,130,165,10
7,131,166,22
7,132,166,12
7,133,166,13
7,134,166,22
7,135,166,11
7,136,166,11
7,137,166,29
7,138,167,23
7,139,167,10
7,140,167,9
7,141,167,18
7,142,167,23
7,143,167,41
7,144,168,14
7,145,168,20
7,146,168,36
7,147,168,13
7,148,168,22
7,149,168,18
7,150,169,39
7,151,169,11
7,152,169,15
7,153,169,14
7,154,169,15
7,155,169,41
7,156,170,30
7,157,170,43
7,158,170,31
7,159,170,8
7,160,171,43
7,161,171,20
7,162,171,17
7,163,171,27
7,164,172,19
7,165,172,18
7,166,172,11
7,167,172,19
7,168,172,14
7,169,172,40
7,170,172,10
7,171,173,19
7,172,173,26
7,173,173,15
7,174,173,5
7,175,173,13
7,176,173,30
7,177,173,9
7,178,173,10
7,179,174,30
7,180,174,14
7,181,174,7
7,182,174,8
7,183,174,5
7,184,174,11
7,185,174,22
7,186,174,10
7,187,174,37
7,188,175,28
7,189,175,29
7,190,175,12
7,191,175,7
7,192,175,7
7,193,175,12
7,194,175,14
7,195,175,26
7,196,176,9
7,197,176,10
7,198,176,12
7,199,176,7
7,200,176,10
7,201,176,12
7,202,176,7
7,203,176,23
7,204,176,8
7,205,176,16
7,206,176,11
8,1,177,18
8,2,177,17
8,3,177,6
8,4,177,11
8,5,177,11
8,6,177,11
8,7,177,23
8,8,177,7
8,9,178,11
8,10,178,18
8,11,178,22
8,12,178,23
8,13,178,13
8,14,178,6
8,15,178,11
8,16,178,20
8,17,179,21
